Y,E1,E2,E3,E4,E5,E6,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25
55904561454,2380.534398,378.1437478,684.5547912,1350.522426,1431.636175,524.0037715,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0
1.3068E+11,901.479378,885.9486835,862.827801,1216.901089,-77.46481582,663.7049366,NA,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1
-85634776788,303.9245566,1330.620508,907.1954653,1703.219619,2325.173612,501.0945982,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1
2.31599E+11,1153.396097,205.4769617,656.7899213,1016.971577,982.8455085,1630.490581,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1.71588E+11,2208.968387,1051.94601,45.225446,-598.3803252,-487.8676174,1189.520586,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
43541185771,1160.792789,55.0178584,1002.212656,376.4320432,1673.135695,717.202985,NA,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
49458123121,1573.784295,NA,600.8548654,1672.646869,909.2586165,982.0270159,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,NA,0,0
2.0273E+11,401.4163609,559.3514286,837.6097371,NA,-140.8748102,375.3896909,NA,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0
48563007879,-302.3697682,130.6665613,313.882998,1121.451879,1956.851557,728.1036779,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0
2.75871E+11,1561.520041,-261.8005188,1401.633599,1820.995862,1689.048013,567.1305909,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0
NA,NA,-493.0656633,652.5058557,1645.126855,1273.649101,498.023158,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0
-39220929255,835.6227165,2084.067374,670.6639186,1630.563957,680.7625522,883.0530101,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1.95905E+11,2192.824828,873.2235397,-82.04979173,701.5650649,1370.340911,658.1038159,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0
-1.24875E+11,-354.975954,199.1174105,516.60727,2049.929488,803.8570827,719.1431447,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0
30693625289,368.7868705,691.7155951,638.4191729,1943.861329,1488.174968,423.8369038,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
60939119317,800.7340426,712.7611859,363.4483413,-79.24724067,531.0582428,937.0899071,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1
2.14843E+11,263.0829127,813.604045,390.9733687,1498.592233,754.9078344,702.4451352,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
4.21984E+11,1319.492456,467.0877026,-668.2369345,562.1711035,846.4573873,1586.022554,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0
1.20277E+11,868.6449691,820.7087595,229.9845328,1400.935903,252.0323251,997.5922936,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1
-59787882014,822.7287748,1034.06271,650.9558018,595.8184493,1066.00906,1097.922734,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1.08343E+11,321.5764703,498.460798,310.339409,993.9101256,269.8715683,1144.972352,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1
2.85629E+11,1081.16233,-130.6089638,1613.124546,779.4999283,688.8952266,1565.302489,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1
87879527848,1193.11708,1079.904751,626.8754861,1928.6674,2439.967446,746.0136867,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
46345742721,1135.296972,586.8187605,86.28176612,679.7202665,230.9328068,1261.815692,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0
2.5654E+11,1642.390018,184.9972776,438.6821344,341.5400486,516.4316148,1271.276372,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0
52704565827,1940.67235,862.4563286,398.7997458,1586.116897,2216.098325,86.48526377,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1
NA,1210.426702,-457.1438857,-375.632168,548.2210107,1040.234603,NA,0,NA,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,NA,1,0,0,1
2.00286E+11,1033.813422,700.3372713,1071.730348,232.4815384,571.7151292,2112.261058,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1
76709646122,347.5229646,-103.5430642,123.3837864,625.9544778,1898.565883,105.9190583,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0
87904667232,956.9855221,-41.02027258,825.5394602,1116.346069,528.4961322,592.6502073,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0
52075904889,1161.521442,558.1048487,1195.913801,1092.740322,-200.4762629,558.4402088,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
-54866185316,1326.589764,1519.229929,-648.8692014,742.5160459,823.5091599,836.2929538,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
2.37593E+11,1330.909075,-234.8223128,536.9223057,252.249514,996.8715877,1370.16445,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0
97496504368,42.61012219,1237.945091,724.1648855,1730.006572,1216.405469,1288.041688,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1
42431814555,-583.5706827,-438.8972045,366.2508594,1078.059579,587.2337199,276.5280705,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
3.48343E+11,1662.606807,450.4324981,-413.5947611,476.4831639,808.020658,1472.787207,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1
-1.45275E+11,838.5686258,544.8978518,NA,827.7333418,1068.330968,-328.1581378,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1
47916178137,1020.747526,559.7958256,94.70733947,1241.807144,2088.612382,1701.496443,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1
72079045914,1069.486196,754.4628265,372.3274918,1169.268705,-168.3300511,215.3061767,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1
1.72833E+11,1680.20845,416.7005156,-602.916646,1300.121502,868.2517006,432.1493846,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1
-61857378296,445.4887621,967.5727403,-89.29748419,1126.509842,379.6492832,673.8763625,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1
4.56507E+11,881.8874082,245.2920039,220.8867075,1195.156164,394.3893848,1948.566153,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0
1.96477E+11,2007.746434,646.8565413,872.0798536,1542.524559,437.5302264,917.3259307,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
1.38108E+11,510.4261796,1002.155461,1058.953296,560.3434274,1095.640039,1429.811809,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0
1.65983E+11,1373.129775,201.4919839,1435.870225,NA,NA,1669.511819,0,1,0,1,1,0,0,1,0,1,NA,0,1,0,1,0,1,0,1,0,0,0,0,1,1
-73730709302,-615.689133,203.4761371,333.3175937,1075.347383,1959.199551,1220.315169,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2.3583E+11,1603.237932,667.699793,47.96608123,532.6400351,1497.469774,1054.115097,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1
75372684315,1153.327607,51.73828363,959.5252418,276.3747015,1065.130759,887.2103301,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1
1.2812E+11,490.5806252,818.2111654,49.36050675,2011.146998,NA,694.6894969,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1
-48290195839,1201.317941,686.3694889,2285.754517,1282.039731,573.5876708,-125.4659092,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1
1.82369E+11,638.9887279,539.2815182,588.0463829,815.0532107,1116.782626,610.5056527,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0
-21204093580,851.3916255,453.0020905,NA,1584.802855,1933.032201,1377.944832,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0
NA,1295.167249,188.0428396,187.5218015,1722.900659,1102.854046,NA,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1
54881564675,-321.0360188,997.8561155,-138.1975099,-40.97493534,293.5729837,495.9931012,0,1,0,NA,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
-21422599563,318.5070677,159.4312267,780.2153589,918.3476445,1518.182976,1904.927454,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
3.17541E+11,1689.872077,NA,877.5026925,693.6543527,623.3557561,1838.658606,1,1,NA,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0
9574316295,341.9975421,247.457841,300.9485599,898.4594991,-243.7723835,517.9687264,NA,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1
2.72537E+11,713.9912337,1621.844377,1468.179568,2059.812927,NA,1209.298225,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1
91095724345,728.4672204,-240.3173882,-805.4510235,1448.994876,441.712015,64.92278049,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0
23100877417,404.9492383,1747.180953,1053.73102,1980.510053,159.1375731,987.1417029,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
-16083421491,1042.447939,739.156161,-580.220015,534.4284789,1509.448008,972.6834754,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
21283574258,-48.17038389,756.0480859,501.1635674,1334.343172,1006.542538,1260.582336,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1
1.93197E+11,1587.524248,1072.365314,1002.597112,1134.751384,1138.986821,966.6697877,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1
1.42795E+11,-481.1973109,-1196.931213,1307.128982,1463.509817,878.420511,222.3254114,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1.61034E+11,1254.547714,684.8957757,443.1210983,586.3277283,1043.341382,944.53857,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1
63740835295,1162.2153,705.6744458,1662.294735,1588.867723,1695.55251,160.9268088,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1
1.12744E+11,702.0009838,877.6606289,197.9061484,1091.613177,903.4098093,437.2706528,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1
1.15398E+11,1086.942433,1276.559995,941.7472317,93.58301252,1592.631333,1026.200172,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0
-1.02334E+11,328.3814588,1524.021153,141.0912871,490.3870781,1244.718506,1036.145627,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0
-98099206155,1404.857973,209.7961127,-48.73351808,1553.069234,1352.786481,168.3681525,0,0,0,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1.0055E+11,2078.985963,1163.370296,71.85608136,212.0247564,172.9514078,1326.416994,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,NA,1,1,1,0
66373051763,394.0235585,803.6728734,909.7774327,532.9676915,752.0846143,1512.521705,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1
20012044405,639.2808846,-250.967064,-669.9668237,2023.528039,1315.166317,1309.397834,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1
91660469978,923.3253082,409.1361505,989.664866,1552.950139,2017.198573,489.8491989,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0
1.98137E+11,743.0445143,368.0370873,730.2094104,1238.384984,878.3276884,1267.98753,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0
-1.0392E+11,838.3846436,596.8852161,166.6356121,1720.043817,1835.721007,968.2427876,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1
84231767642,428.0688761,379.771723,602.503901,473.1715031,2257.540625,-144.3334171,NA,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0
2.57381E+11,13.39550656,308.0264901,615.1565951,1247.054748,855.707803,1095.789841,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0
1.89751E+11,1289.934152,1113.704436,1177.199085,1493.829497,1164.243548,736.0489114,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1
-44765911046,222.5270015,1043.993912,-581.4107876,493.931373,74.61879353,698.6184492,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1
57729735765,583.093125,1472.593756,117.3183906,1511.677273,885.4271452,1284.962282,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
44618883709,950.1271843,890.5916735,-332.4239191,2297.297069,1574.969821,1740.678012,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0
1.114E+11,1435.926951,1004.098506,588.6283594,941.4295269,1161.774066,283.8664699,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1
1.063E+11,1082.655568,966.9845101,-944.9162259,2238.488056,358.9173735,-233.7473481,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1
1.06292E+11,-269.7895098,261.8856647,871.796461,2124.413687,335.4677916,1725.708661,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1.84735E+11,791.9610974,1649.459289,758.1810184,1938.012474,952.8405202,1166.648248,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
1.60592E+11,1235.329292,-194.940554,1097.517519,797.2346226,1547.770899,926.0916925,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0
70291491289,1536.828634,200.4683564,-344.4468167,758.2603631,2329.021147,615.5123144,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
-29170183499,649.9506421,473.4418741,794.6709051,1164.590764,636.4345291,1979.05556,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1
2.09056E+11,822.62372,185.352568,458.2304057,938.3431014,983.1584609,567.9130216,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1
72287349772,1809.872732,634.0484343,-649.0784612,1395.659623,1172.109623,276.0031832,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
1.80183E+11,820.1738714,58.85999994,2520.952725,387.2064264,1352.318022,-109.7808623,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0
1.01248E+11,681.6207249,249.1153621,-50.34227179,1193.830624,1267.614742,53.48806695,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
-1.26515E+11,589.5224432,725.6150115,945.282516,1138.674547,13.91752821,1567.762177,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1
-27934583340,1582.136468,891.7860654,594.2314445,656.1292067,376.3533604,-71.03122559,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1
2.59381E+11,810.556456,680.3168354,1616.210478,-25.51900956,1068.184476,1867.464613,1,1,1,NA,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0
1.36985E+11,1472.285633,30.22000437,-97.25324023,641.8589831,2299.156808,-48.6522163,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
96535167820,505.077966,172.2675767,1766.022048,132.6519347,1574.683374,1447.309763,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1
1.22156E+11,1382.67954,751.2543063,463.3965365,715.289646,1867.447639,811.6922688,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
1.48397E+11,862.9373217,357.7744011,215.6089441,2310.525228,1058.095232,1707.012688,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1
4.02588E+11,1737.866212,306.8691841,723.9989069,979.1716318,410.4142662,1231.709301,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0
-53519176144,2231.799428,907.7689623,-238.7537168,1069.624296,387.3722873,972.2604598,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0
1.0908E+11,-215.6284419,76.83904405,578.8951425,297.3730584,1245.723947,519.9094169,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,NA,1,0,0,0,0,1,0,0
94084044396,1100.405376,1060.570144,46.13386484,1403.658505,363.4574894,699.8587016,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0
1.92162E+11,1152.320586,628.647557,443.673662,1222.837098,5.141149356,790.0519352,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
94246639280,1197.752415,387.1717287,65.62177165,958.6139812,843.4406531,-393.8778466,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1
1.27004E+11,984.8297665,1134.00731,619.8714918,1170.004887,624.8349044,482.5959033,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1
44061057403,689.828197,1677.283925,435.5968156,902.5126006,470.0091899,334.3248275,0,1,NA,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0
1.7558E+11,887.3509198,-601.1139353,845.5948343,876.1934544,939.571805,842.5942853,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1
2.39582E+11,399.4435733,847.4940633,239.8222326,644.6315661,1609.913497,1575.625065,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1.37808E+11,1109.475471,142.6027509,1198.298669,1003.812903,1621.366122,1173.660278,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
NA,615.550643,682.6634023,878.1348643,850.2986257,1689.033374,NA,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1
3.14705E+11,1817.310183,533.8091083,1047.077894,733.8393989,960.9226647,1665.624823,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1
2.88845E+11,762.9754753,NA,513.1403154,1255.742744,NA,1999.328066,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0
1.18133E+11,1436.56074,134.9362299,461.3522812,1436.209133,1033.568818,474.2985136,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0
1.50879E+11,384.816544,-196.04756,1047.328801,NA,1587.989656,1042.821524,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
2.38477E+11,829.0452086,736.1702291,7.199402517,702.2189206,1411.20047,1017.803135,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1
91555061086,293.9380105,1115.806219,337.0518265,1876.060725,913.7055867,1463.77731,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0
1.52891E+11,1070.212486,594.4997512,183.5468806,1661.693381,880.1463086,531.8729001,1,NA,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,NA,1,1,1,0
-84547088094,-390.6343359,182.509077,-126.9167698,1298.481974,973.1500254,663.4543735,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0
1.9051E+11,1210.245036,1465.706543,810.1304974,914.9199646,380.8214633,1411.902974,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2.04097E+11,1613.5863,105.8531656,-38.00657544,882.7913114,385.2354462,1205.008411,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3.15412E+11,2065.760301,943.3610252,-34.27841252,183.6759214,1360.935624,1708.721538,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,NA,0,1,1,0,0,0,0,1
2.61835E+11,1225.121617,485.8753328,797.2616092,1556.791565,2009.406174,1154.655466,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
3.60243E+11,617.2552958,-132.0809282,582.8169309,1305.608267,1664.253569,1435.743028,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1
57893563377,817.3478235,1688.048667,801.5562503,732.1797415,484.987338,472.1229733,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0
92779157575,1473.665876,857.4927939,1065.673175,1345.031655,1130.67778,-15.77542118,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA,1,0
10883229572,951.2402263,398.4427582,572.7414135,866.7221257,1148.945504,189.2365451,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
2.55295E+11,537.7075745,113.438315,625.0265621,1351.24401,1208.626869,462.7277475,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0
3.67473E+11,1761.551996,824.205791,223.8458139,1760.914673,1252.469205,1726.534892,NA,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1
4.8901E+11,1507.528023,508.6975035,367.5262242,1928.478328,1187.942888,1110.206099,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0
